RNA anno gene_id	TPM in G1	TPM in G1+HB	TPM in HB	TPM in G1/TPM in HB	TPM in G1+HB/TPM in HB
gene-G1-0	19.39802927	19.47008164	26.10583596	0.743053366	0.745813376
gene-G1-1	4.98806467	13.74358704	12.08603517	0.412713069	1.137146041
gene-G1-10	12.19304697	17.75213326	30.45680862	0.400338956	0.582862554
gene-G1-100	29.37415861	28.632473	26.10583596	1.125195096	1.096784376
gene-G1-1000	6.650752893	5.726494601	5.317855473	1.250645665	1.076842842
gene-G1-1001	9.421899932	10.88033974	3.867531253	2.436153534	2.813251925
gene-G1-1002	11.08458815	13.17093758	7.2516211	1.528566923	1.816274927
gene-G1-1003	5.542294077	5.153845141	3.867531253	1.433031491	1.332593017
gene-G1-1004	3.879605854	5.153845141	6.284738287	0.617305873	0.820057241
gene-G1-1005	4.433835262	9.162391361	9.185386727	0.482705344	0.997496527
gene-G1-1006	4.98806467	9.162391361	2.90064844	1.719637789	3.158739003
gene-G1-1007	1.662688223	6.871793521	2.90064844	0.573212596	2.369054252
gene-G1-1008	1.108458815	3.43589676	2.90064844	0.382141731	1.184527126
gene-G1-1009	8.313441116	13.74358704	7.735062507	1.074773618	1.776790689
gene-G1-101	43.2298938	39.51281275	32.87401565	1.315017133	1.201946643
gene-G1-1010	5.542294077	10.30769028	5.317855473	1.042204721	1.938317115
gene-G1-1011	6.096523485	10.88033974	8.218503913	0.741804536	1.323883259
gene-G1-1012	11.08458815	13.17093758	13.05291798	0.849203846	1.009041626
gene-G1-1013	4.433835262	5.726494601	12.56947657	0.352746213	0.455587356
gene-G1-1014	4.98806467	11.4529892	10.63571095	0.468992124	1.076842842
gene-G1-1015	3.325376446	3.43589676	14.98668361	0.221888747	0.229263315
gene-G1-1016	3.325376446	3.43589676	12.56947657	0.26455966	0.273352414
gene-G1-1017	4.433835262	4.581195681	11.11915235	0.398756589	0.412009435
gene-G1-1018	3.879605854	8.589741901	14.98668361	0.258870205	0.573158287
gene-G1-1019	4.98806467	2.29059784	6.768179693	0.736987624	0.338436322
gene-G1-102	19.95225868	21.76067948	18.85421486	1.058238639	1.154154636
gene-G1-1020	12.19304697	10.30769028	14.5032422	0.840711808	0.710716276
gene-G1-1021	4.433835262	5.153845141	12.08603517	0.366856062	0.426429765
gene-G1-1022	28.8199292	12.02563866	14.01980079	2.055658966	0.857761022
gene-G1-1023	12.74727638	11.4529892	22.72174611	0.561016584	0.504054096
gene-G1-1024	6.096523485	13.17093758	14.5032422	0.420355904	0.908137463
gene-G1-1025	12.74727638	6.299144061	15.47012501	0.823993107	0.4071812
gene-G1-1026	6.650752893	6.871793521	14.98668361	0.443777494	0.458526629
gene-G1-1027	8.867670524	12.02563866	19.33765627	0.458570077	0.621876741
gene-G1-1028	6.096523485	20.0427311	14.98668361	0.406796036	1.337369336
gene-G1-1029	5.542294077	6.871793521	4.834414067	1.146425193	1.421432551
gene-G1-103	15.51842342	14.3162365	14.5032422	1.069996846	0.987105938
gene-G1-1030	11679.27631	8293.109481	7303.34933	1.599167147	1.135521403
gene-G1-1031	2707.410657	1621.170621	1366.205415	1.981701014	1.186622892
gene-G1-1032	953.8288107	286.32473	566.1098872	1.684882798	0.505775886
gene-G1-1033	278.7773921	196.9914143	179.8402033	1.550139441	1.09536917
gene-G1-1034	463.3357849	371.6494996	296.3495823	1.563477098	1.254091525
gene-G1-1035	382.4182913	336.1452331	336.9586604	1.134911597	0.997585973
gene-G1-1036	69.83290538	62.99144061	69.13212115	1.010136883	0.911174712
gene-G1-1037	306.4888625	245.0939689	219.96584	1.393347542	1.114236505
gene-G1-1038	185.1126222	183.2478272	198.2109767	0.933917108	0.924508976
gene-G1-1039	243.8609394	211.3076508	168.7210509	1.445349813	1.252408337
gene-G1-104	22.16917631	21.76067948	20.30453908	1.091833517	1.071715019
gene-G1-1040	389.0690442	344.1623255	296.8330237	1.310733689	1.159447562
gene-G1-1041	414.563597	336.7178825	286.6807541	1.446081019	1.174539545
gene-G1-1042	370.7794738	293.1965236	255.2570627	1.452572829	1.148632365
gene-G1-1043	193.4260633	188.9743218	134.3967111	1.439217238	1.406093351
gene-G1-1044	116.3881756	117.3931393	104.9067852	1.109443735	1.119023322
gene-G1-1045	279.3316215	313.2392547	224.3168127	1.245254951	1.396414522
gene-G1-1046	555.3378666	586.3930471	456.8521293	1.215574649	1.283551087
gene-G1-1047	174.028034	162.6324467	143.5820978	1.21204549	1.132679137
