	name	synonymous_variant	frameshift_variant	missense_variant	stop_gained	classification
1	Atalantia_CDSJ	18	8	29	6	At
2	Atalantia_GDMM	20	6	24	6	At
3	Atalantia_HDGKZ	17	6	28	6	At
4	Atalantia_HKC	24	16	41	6	At
5	Atalantia_JBL	27	12	45	6	At
6	Atalantia_SND	11	6	28	5	At
7	Atalantia_WNNL	24	4	41	6	At
8	Atalantia_WNSMW	23	6	29	6	At
9	Atalantia_WSD	19	8	27	6	At
39	N18SVR	29	14	42	7	At
16	Ma21CI0	147	56	272	17	CI
17	Ma21CI1	145	50	270	17	CI
18	Ma21CI2	136	50	259	21	CI
24	N18BUD	134	50	242	16	CI
27	N18COR	131	48	236	17	CI
31	N18HUM	128	44	238	16	CI
43	N18VEU	133	44	245	17	CI
56	citron_JY28	147	54	261	16	CI
57	citron_JY4	145	54	260	16	CI
58	citron_JY5	144	56	263	16	CI
59	citron_XZ	135	50	246	17	CI
60	citron_XZ1	145	52	263	16	CI
21	Ma21R00	135	52	262	21	GRMA
61	grapefruit_14J	131	52	256	21	GRMA
62	grapefruit_Flame	136	48	258	20	GRMA
63	grapefruit_HJ	137	50	260	21	GRMA
64	grapefruit_PAR	130	48	256	20	GRMA
65	grapefruit_Ruby	137	46	255	21	GRMA
12	JgA12	142	56	253	19	JG
13	JgA14	143	56	251	19	JG
15	Ma21CAR	136	64	254	23	JG
25	N18CAL	133	60	247	23	JG
30	N18FOR	137	54	247	18	JG
46	O21JGLYP1	143	56	255	19	JG
135	sjg21J1	139	56	256	21	JG
136	sjg21K1	134	58	253	21	JG
137	sjg21N1	136	58	259	19	JG
138	sjg21O1-1	141	56	252	18	JG
139	sjg_BLS07	135	60	256	20	JG
140	sjg_BZ01	135	60	260	19	JG
141	sjg_DR01	136	58	256	19	JG
142	sjg_DYS002-5	136	60	255	19	JG
143	sjg_FC01	136	54	258	19	JG
144	sjg_GHS01	141	58	257	18	JG
145	sjg_GT01	136	60	259	19	JG
146	sjg_GZ01	135	58	260	19	JG
147	sjg_HK02	135	60	257	19	JG
148	sjg_HS03	135	60	259	19	JG
149	sjg_JK09	136	60	258	19	JG
150	sjg_LS	134	60	257	19	JG
151	sjg_LS4	134	60	257	19	JG
152	sjg_LT01	135	60	258	19	JG
153	sjg_MJS02	135	56	256	19	JG
154	sjg_MP12	135	60	257	19	JG
155	sjg_NQ03	134	60	256	19	JG
156	sjg_PN01	136	56	254	21	JG
157	sjg_PN03	136	56	256	21	JG
158	sjg_RYS	135	60	258	19	JG
159	sjg_SD01	136	54	257	20	JG
160	sjg_SK03	135	54	256	20	JG
161	sjg_SL01	135	60	258	20	JG
162	sjg_SY02	134	60	256	19	JG
163	sjg_TX01	136	54	257	20	JG
164	sjg_TZ	134	60	256	19	JG
165	sjg_WH	135	60	259	19	JG
166	sjg_WP	135	58	257	21	JG
167	sjg_ZL01	136	60	260	19	JG
34	N18LIM	129	48	238	18	LE
35	N18LMA	132	48	226	16	LE
37	N18RRL	134	56	248	21	LE
75	lemon_05L-06	134	50	259	18	LE
76	lemon_BJ	140	52	261	19	LE
77	lemon_JY22	135	46	256	20	LE
78	lemon_LS	136	46	250	19	LE
79	lemon_ML	130	54	245	17	LE
10	Climent2013	133	50	264	21	MA
19	Ma21ISH	144	54	273	19	MA
20	Ma21OBN	134	48	273	22	MA
22	Ma21RK3	142	52	267	19	MA
23	Ma21TK1	143	54	267	19	MA
26	N18CLP	136	54	259	20	MA
28	N18CSM	132	50	273	21	MA
29	N18DNC	134	48	263	20	MA
33	N18KSH	133	48	270	21	MA
