conserved_genes_fragments	RNA-anno	TPM in G1	TPM in G1+HB	TPM in HB	TPM in G1/TPM in HB	TPM in G1+HB/TPM in HB
nad5-part2	gene-G1-480	304.8261743	819.4613774	0	#DIV/0!	#DIV/0!
nad5-part3	gene-G1-5075	69.27867597	259.9828549	0	#DIV/0!	#DIV/0!
nad5-part4	gene-G1-5075	69.27867597	259.9828549	0	#DIV/0!	#DIV/0!
nad4L-part0	gene-G1-4303	716.0643948	684.8887543	0.483441407	1481.181349	1416.694443
nad4L-part1	gene-G1-4303	716.0643948	684.8887543	0.483441407	1481.181349	1416.694443
nad4L-part2	gene-G1-4303	716.0643948	684.8887543	0.483441407	1481.181349	1416.694443
nad4L-part3	gene-G1-4303	716.0643948	684.8887543	0.483441407	1481.181349	1416.694443
nad5-part3	gene-G1-5076	121.9304697	406.0084672	17.88733205	6.816582226	22.69810088
nad5-part4	gene-G1-5076	121.9304697	406.0084672	17.88733205	6.816582226	22.69810088
nad5-part2	gene-G1-481	881.2247583	1375.504003	144.0655392	6.116832404	9.547765627
atp8-part0	gene-G1-471	4623.935949	2582.649065	961.5649578	4.808760876	2.685881015
atp8-part3	gene-G1-471	4623.935949	2582.649065	961.5649578	4.808760876	2.685881015
atp1-part4	gene-G1-471	4623.935949	2582.649065	961.5649578	4.808760876	2.685881015
atp1-part5	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp1-part6	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part0	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part1	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part2	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part3	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part4	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part0	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part1	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part2	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part3	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part4	gene-G1-1125	1445.984525	393.9828285	362.581055	3.988031103	1.086606217
atp9-part5	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
atp9-part6	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
atp9-part7	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
atp9-part8	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
atp9-part9	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part0	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part1	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part2	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part3	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part10	gene-G1-922	5265.179374	2921.084896	2038.18897	2.583263598	1.433176677
rpl5-part11	gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
rpl5-part12	gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
rpl5-part13	gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
rpl5-part14	gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
rpl5-part15	gene-G1-1126	466.6611613	209.0170529	182.2574103	2.560450961	1.146823345
rpl5-part16	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part17	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part18	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part4	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part5	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part8	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part9	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part10	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part11	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part12	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part13	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part14	gene-G1-1065	4218.794252	2555.161891	2156.148674	1.956634208	1.185058304
rpl5-part15	gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
rpl5-part16	gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
rpl5-part0	gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
rpl5-part1	gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
rpl5-part2	gene-G1-1064	3131.396154	1937.845773	1659.170908	1.887325856	1.167960313
rpl5-part3	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
rpl5-part4	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
rpl5-part5	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
rpl5-part8	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
rpl5-part9	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
matR-part32	gene-G1-2696	430.0820204	222.76064	232.5353166	1.849534198	0.957964765
